Category,Status
name,Inactive
Physics,Inactive
"Bio Lab Equipments",Inactive
"Hospital Utensils and Hollowares",Active
"Hand Tools",Active
"Electronic Components",Active
"IC Testers Programmers",Active
"Lab Furniture",Active
"Desoldering Stations",Active
"Measuring Instruments ",Active
Meters,Active
"Solar Energy",Active
"Heating Cooling Trainer",Active
"Environmental Systems",Active
"Laboratory Centrifuges",Active
"Electrical Lab Testing Equipment",Active
"Fundamentals of Thermodynamics",Active
"Applied Mechanics Lab Equipments",Active
"X-Ray Crystallography",Active
"Blood Bank Equipment",Active
"Medical Lab Equipment",Active
"Vocational Training Lab Equipment Manufacturers",Active
"Engineering Lab Equipment",Active
"School Science Lab Equipment Manufacturer",Active
"TVET Lab Equipment manufacturers",Active
"Scientific Lab Equipment Manufacturer",Active
"Lab Equipment",Active
"Laboratory Plasticware",Active
"FTIR Spectrophotometer",Active
